Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Confindustria Sicilia,Confindustria Sicilia,Corporate Patron,Palermo,info@confindustriasicilia.it,https://www.confindustriasicilia.it/contatti/,Not Contacted,Regional Sicilian industry confederation; email verified on official site
Confindustria Palermo,Sicindustria (Confindustria Palermo territorial association),Corporate Patron,Palermo,info@sicindustria.eu,PEC: sicindustria@pec.sicindustria.eu,Not Contacted,Operates locally as Sicindustria; email and PEC verified on official site
Irritec,Irritec,Corporate Patron,Rocca di Caprileone (Messina),media@irritec.com,https://irritec.it/contatti/,Not Contacted,Irrigation technology manufacturer; only press-office email published no general info@ found
Mangiatorella,Mangiatorella,Corporate Patron,Saponara (Messina),,https://www.mangiatorella.it/contatti/,Not Contacted,Mineral water producer; no verified general-purpose email found on official site contact form only
Ergon S.p.A.,Ergon S.p.A.,Corporate Patron,Ragusa,info@ergonspa.it,https://ergonspa.com/contatti/,Not Contacted,Despar/Interspar/Eurospar retail group with photovoltaic investments; email cross-verified across independent sources moderate confidence
RAP Palermo,RAP Palermo,Corporate Patron,Palermo,info@rapspa.it,PEC: rap.spa@cert.comune.palermo.it,Not Contacted,Municipal waste management utility; verified on official transparency portal
AMAP Palermo,AMAP Palermo,Corporate Patron,Palermo,info@amapspa.it,PEC: amapspa@legalmail.it,Not Contacted,Municipal water utility for Palermo ATO; verified on official site
STMicroelectronics Catania,STMicroelectronics S.r.l. - Catania site,Corporate Patron,Catania,stsrl_ipa@legalmail.it,https://www.st.com/content/st_com/en/contact-us.html,Not Contacted,Major semiconductor and silicon-carbide manufacturing site around 5500 employees; only PEC address found
Raffineria di Milazzo,Raffineria di Milazzo S.C.p.A.,Corporate Patron,Milazzo (ME),raffineriadimilazzo@legalmail.it,https://www.raffineriadimilazzo.it/en/contact/,Not Contacted,Major refinery joint venture ENI/KPC; PEC-hosted address confirmed via official contact page
Eurospin Sicilia,Eurospin Sicilia S.p.A.,Corporate Patron,Catania,,https://www.eurospin.it/contacts/contatti/,Not Contacted,Regional discount retail chain HQ in Catania; no Sicilia-specific email verified only national parent publishes one
Grandi Navi Veloci - Palermo,Grandi Navi Veloci S.p.A.,Corporate Patron,Palermo,segreteria.palermo@gnv.it,https://www.gnv.it,Not Contacted,Ferry and shipping operator; HQ Genoa but major Sicily hub and office at Palermo port
ISAB Priolo,ISAB S.r.l.,Corporate Patron,Priolo Gargallo / Melilli (SR),,https://isab.lukoil.com/it,Not Contacted,Italy's largest oil refinery; no public email found ownership mid-transition in 2026 pending regulatory approval
