Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Famiglia Leone de Castris,Leone de Castris,Patron,Salice Salentino (LE),info@leonedecastris.com,https://www.leonedecastris.com/eng/contacts/,Not Contacted,Historic winery family est. 1665; email verified on official site
Famiglia Cantele,Cantele,Patron,Guagnano (LE),cantele@cantele.it,https://www.cantele.it/en/contact-us/,Not Contacted,Family winery run by four siblings since 1979; email verified on official site
CNH Industrial - Stabilimento Lecce,CNH Industrial,Corporate Patron,Lecce,,https://www.cnh.com/it-it/pages/contact-us.aspx,Not Contacted,Largest EMEA earth-moving-machinery production site; major Salento employer; no plant-level email published
Leo Shoes,Leo Shoes Srl,Corporate Patron,Casarano (LE),,http://www.leoshoes.it/contatti,Not Contacted,Major footwear manufacturer around 800 employees part of the Sneakers Valley district; no email published
Fersalento,Fersalento S.r.l.,Corporate Patron,Lecce,info@fersalento.com,https://www.fersalento.com/contatti/,Not Contacted,Railway construction and maintenance firm of national relevance; email verified on official site
Cantine Due Palme,Cantine Due Palme,Corporate Patron,Cellino San Marco (BR),info@cantineduepalme.it,https://cantineduepalme.wine/it/lazienda/info-contatti.html,Not Contacted,Large cooperative winery and major Salento-area agribusiness employer; email appears in third-party listings moderate confidence
COG,COG (Colucci G. e G. Srl),Corporate Patron,Lecce,,https://cog.it/,Not Contacted,Leading manufacturer of radiators and heat exchangers for industrial vehicles; no email published
Barbetta,Barbetta (Gruppo Florence),Corporate Patron,Nardò (LE),,https://barbetta.gruppoflorence.it/en/contacts/,Not Contacted,Family jersey-manufacturing business founded 1973 acquired by Gruppo Florence in 2022; email obfuscated on official site
Distilleria De Giorgi,Distilleria De Giorgi,Corporate Patron,San Cesario di Lecce (LE),,https://www.distilleriadegiorgi.eu/,Not Contacted,Historic family-run distillery dating to the early 1900s; no verifiable official email found
Fondazione Terra d'Otranto,Fondazione Terra d'Otranto,Strategic Partner,Nardò (LE),fondazionetdo@gmail.com,https://www.fondazioneterradotranto.it/contattaci/,Not Contacted,Cultural and historical heritage foundation for the Terra d'Otranto territory founded 2011
Fondazione di Comunità del Salento,Fondazione di Comunità del Salento ETS,Strategic Partner,Lecce,fondazionesalento@gmail.com,https://www.fondazionesalento.it/,Not Contacted,Community philanthropy foundation covering Lecce Brindisi and Taranto provinces
WWF Salento,WWF Salento (delegazione WWF Italia),Strategic Partner,Lecce,lecce@wwf.it,http://www.wwfsalento.it/contatti.htm,Not Contacted,Local WWF delegation active since 1973 relevant to coastal dune and macchia conservation
Legambiente Lecce,Legambiente Lecce (circolo territoriale),Strategic Partner,Lecce,legambiente.lecce@tiscali.it,http://legambientelecce.blogspot.com/p/contatti.html,Not Contacted,Local Legambiente chapter active on wildfire prevention and territorial environment advocacy
Consorzio Parco Otranto-Leuca,Consorzio di Gestione del Parco Naturale Regionale Costa Otranto - Santa Maria di Leuca e Bosco di Tricase,Strategic Partner,Andrano (LE),info@parcootrantoleuca.it,https://www.parcootrantoleuca.it/,Not Contacted,Statutory management consortium for the Otranto-Leuca coastal park directly relevant to wildfire-prevention territory
Ordine Architetti Lecce,Ordine degli Architetti P.P.C. della Provincia di Lecce,Introducer,Lecce,architetti@lecce.archiworld.it,https://www.architettilecce.it,Not Contacted,Provincial order relevant to territorial and landscape governance
Ordine Ingegneri Lecce,Ordine degli Ingegneri della Provincia di Lecce,Introducer,Lecce,info@ordineingegnerilecce.it,https://www.ordineingegnerilecce.it/contatti/,Not Contacted,Email and PEC confirmed on the order's own contact page
Ordine Agronomi e Forestali Lecce,Ordine dei Dottori Agronomi e dei Dottori Forestali della Provincia di Lecce,Introducer,Lecce,ordinelecce@conaf.it,https://ordinelecce.conaf.it/,Not Contacted,Directly relevant given Xylella and land-management focus
Università del Salento,Università del Salento,Introducer,Lecce,urp@unisalento.it,https://www.unisalento.it/ufficio-comunicazione-istituzionale,Not Contacted,General public relations and institutional contact point for the university
Edoardo Winspeare,Independent filmmaker,Public Figure Patron,Tricase (LE),,https://www.imdb.com/name/nm0935529/,Not Contacted,Film director resident in Salento known for Salento-themed films; no verified official contact channel found low confidence
Sud Sound System,Salento Sound System S.r.l.,Public Figure Patron,San Donato di Lecce (LE),info@sudsoundsystem.it,https://sudsoundsystem.it/contatti/,Not Contacted,Iconic Salento reggae and dancehall collective promoting local dialect and identity
Boomdabash,Boomdabash,Public Figure Patron,Mesagne (BR),,https://www.boomdabash.com/,Not Contacted,Salento-Brindisi area dancehall-pop band with strong regional identity; management contact info@soulmatical.com given as alternative
Emma Marrone,Independent artist,Public Figure Patron,Aradeo (LE),,https://www.emmamarrone.net/,Not Contacted,Singer raised in Aradeo Salento who publicly expresses attachment to the territory; no verified direct email found
Al Bano Carrisi,Tenute Al Bano,Public Figure Patron,Cellino San Marco (BR) - Terra d'Otranto,groups@tenutealbano.com,https://www.tenutealbano.com/contatti/,Not Contacted,Cellino San Marco is in Brindisi province historically part of Terra d'Otranto; email is for his estate business not a confirmed personal address
Camera di Commercio di Lecce,Camera di Commercio di Lecce,Chamber of Commerce,Lecce,cameradicommercio@le.camcom.it,https://www.le.camcom.it/,Not Contacted,Official standalone Chamber for Lecce province
Camera di Commercio di Brindisi-Taranto,Camera di Commercio di Brindisi-Taranto,Chamber of Commerce,Brindisi / Taranto,cameradicommercio@pec.brta.camcom.it,https://www.brta.camcom.it/,Not Contacted,Merged 2021 body covering the adjacent Brindisi area of Salento; only a PEC address published
Confindustria Lecce,Confindustria Lecce,Confindustria,Lecce,segreteria@confindustrialecce.it,https://www.confindustrialecce.it/contatti/,Not Contacted,Territorial industrialists association for Lecce province
Confindustria Brindisi,Confindustria Brindisi,Confindustria,Brindisi,confind@confindustriabrindisi.it,https://www.confindustriabrindisi.it/contact-us/,Not Contacted,Adjacent territorial association covering Brindisi province
Fondazione Palmieri,Fondazione Palmieri Onlus,Foundation,Lecce,info@fondazionepalmieri.it,https://fondazionepalmieri.it/contatti/,Not Contacted,Arts and culture foundation based at Chiesa di San Sebastiano
Fondazione Le Costantine,Fondazione Le Costantine ETS,Foundation,Uggiano La Chiesa (LE),info@lecostantine.eu,https://www.lecostantine.it/contatti/,Not Contacted,Historic women's craft and social foundation covering weaving biodynamic agriculture and education
Fondazione BPP,Fondazione Banca Popolare Pugliese Giorgio Primiceri ETS,Foundation,Parabita (LE),funzione.segreteria.generale@bpp.it,https://fondazione.bpp.it/,Not Contacted,Corporate and territorial philanthropy foundation tied to a Salento-rooted bank
Parco Porto Selvaggio,Parco Naturale Regionale di Porto Selvaggio e Palude del Capitano,Environmental Organisation,Nardò (LE),,https://www.portoselvaggio.net/,Not Contacted,Reserve and park management office for a key dune and pinewood macchia site historically wildfire-affected
Fondazione La Notte della Taranta,Fondazione La Notte della Taranta,Cultural Institution,Melpignano (LE),segreteria@lanottedellataranta.it,https://www.lanottedellataranta.it/it/component/k2/item/390-contatti,Not Contacted,Major Salento cultural foundation and festival dedicated to pizzica music heritage
Teatro Apollo e Paisiello,Teatro Apollo e Paisiello (Comune di Lecce),Cultural Institution,Lecce,teatriapolloepaisiello@comune.lecce.it,https://www.comune.lecce.it/aree-tematiche/cultura-e-tempo-libero/servizi-comunali/utilizzo-teatri-paisiello-apollo,Not Contacted,Municipally-run historic theatre in Lecce
Museo Castromediano,Museo Archeologico Provinciale Sigismondo Castromediano,Cultural Institution,Lecce,museocastromediano.lecce@regione.puglia.it,https://www.comune.lecce.it/vivi-lecce/musei-e-gallerie/museo-provinciale-sigismondo-castromediano,Not Contacted,Puglia's oldest public museum regionally managed
Castello Carlo V,Castello Carlo V di Lecce,Cultural Institution,Lecce,cs-ba.castellocarlov@cultura.gov.it,https://museipuglia.cultura.gov.it/musei/castello-carlo-v-di-lecce/,Not Contacted,State-managed historic castle and cultural venue in central Lecce
Hotel Palazzo Papaleo,Hotel Palazzo Papaleo,Luxury Hospitality,Otranto,info@hotelpalazzopapaleo.com,https://www.hotelpalazzopapaleo.com/,Not Contacted,5-star hotel in Otranto historic center
Relais Valle dell'Idro,Relais Valle dell'Idro,Luxury Hospitality,Otranto,info@valledellidro.com,https://www.valledellidro.com/en,Not Contacted,4-star boutique hotel in Otranto
Biancodonda,Biancodonda Greenblu Hotel & Spa,Luxury Hospitality,Gallipoli,booking@greenblu.it,https://biancodonda.com/en/contacts-hotel-gallipoli/,Not Contacted,5-star lifestyle hotel and spa near Gallipoli old town
Hotel Palazzo del Corso,Palazzo del Corso,Luxury Hospitality,Gallipoli,info@hotelpalazzodelcorso.it,https://www.hotelpalazzodelcorso.it/,Not Contacted,5-star boutique hotel on Gallipoli's main street
Augustus Resort,Augustus Resort,Luxury Hospitality,Santa Cesarea Terme,info@augustusresort.it,https://augustusresort.com/contatti/,Not Contacted,Resort at Porto Miggiano
Masseria Torre Maizza,Masseria Torre Maizza (Rocco Forte Hotels),Luxury Hospitality,Savelletri di Fasano (Brindisi - Ostuni area),reservations.torremaizza@roccofortehotels.com,https://www.roccofortehotels.com/hotels-and-resorts/masseria-torre-maizza/,Not Contacted,Well-known luxury masseria-hotel near Ostuni; technically Brindisi province not Lecce but explicitly Ostuni-adjacent
Masseria Montelauro,Masseria Montelauro,Masseria,Otranto,info@masseriamontelauro.it,https://masseriamontelauro.it/en/,Not Contacted,Historic converted masseria hotel near Otranto
Le Pajare,Hotel Masseria Le Pajare,Masseria,Presicce (LE),info@lepajare.com,https://www.lepajare.com/,Not Contacted,Converted masseria and agritourism property; email from search snippet not independently re-fetched
Masseria LuciaGiovanni,Masseria & Spa LuciaGiovanni,Masseria,Lecce,contatti@masserialuciagiovanni.it,https://www.masserialuciagiovanni.it/en/,Not Contacted,4-star masseria resort with spa; email from search snippet not independently re-fetched
