Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Camera di Commercio di Lecce,Camera di Commercio di Lecce,Chamber of Commerce,Lecce,cameradicommercio@le.camcom.it,https://www.le.camcom.it/,Not Contacted,Official standalone Chamber for Lecce province
Camera di Commercio di Brindisi-Taranto,Camera di Commercio di Brindisi-Taranto,Chamber of Commerce,Brindisi / Taranto,cameradicommercio@pec.brta.camcom.it,https://www.brta.camcom.it/,Not Contacted,Merged 2021 body covering the adjacent Brindisi area of Salento; only a PEC address published
Confindustria Lecce,Confindustria Lecce,Confindustria,Lecce,segreteria@confindustrialecce.it,https://www.confindustrialecce.it/contatti/,Not Contacted,Territorial industrialists association for Lecce province
Confindustria Brindisi,Confindustria Brindisi,Confindustria,Brindisi,confind@confindustriabrindisi.it,https://www.confindustriabrindisi.it/contact-us/,Not Contacted,Adjacent territorial association covering Brindisi province
Fondazione Palmieri,Fondazione Palmieri Onlus,Foundation,Lecce,info@fondazionepalmieri.it,https://fondazionepalmieri.it/contatti/,Not Contacted,Arts and culture foundation based at Chiesa di San Sebastiano
Fondazione Le Costantine,Fondazione Le Costantine ETS,Foundation,Uggiano La Chiesa (LE),info@lecostantine.eu,https://www.lecostantine.it/contatti/,Not Contacted,Historic women's craft and social foundation covering weaving biodynamic agriculture and education
Fondazione BPP,Fondazione Banca Popolare Pugliese Giorgio Primiceri ETS,Foundation,Parabita (LE),funzione.segreteria.generale@bpp.it,https://fondazione.bpp.it/,Not Contacted,Corporate and territorial philanthropy foundation tied to a Salento-rooted bank
Parco Porto Selvaggio,Parco Naturale Regionale di Porto Selvaggio e Palude del Capitano,Environmental Organisation,Nardò (LE),,https://www.portoselvaggio.net/,Not Contacted,Reserve and park management office for a key dune and pinewood macchia site historically wildfire-affected
Fondazione La Notte della Taranta,Fondazione La Notte della Taranta,Cultural Institution,Melpignano (LE),segreteria@lanottedellataranta.it,https://www.lanottedellataranta.it/it/component/k2/item/390-contatti,Not Contacted,Major Salento cultural foundation and festival dedicated to pizzica music heritage
Teatro Apollo e Paisiello,Teatro Apollo e Paisiello (Comune di Lecce),Cultural Institution,Lecce,teatriapolloepaisiello@comune.lecce.it,https://www.comune.lecce.it/aree-tematiche/cultura-e-tempo-libero/servizi-comunali/utilizzo-teatri-paisiello-apollo,Not Contacted,Municipally-run historic theatre in Lecce
Museo Castromediano,Museo Archeologico Provinciale Sigismondo Castromediano,Cultural Institution,Lecce,museocastromediano.lecce@regione.puglia.it,https://www.comune.lecce.it/vivi-lecce/musei-e-gallerie/museo-provinciale-sigismondo-castromediano,Not Contacted,Puglia's oldest public museum regionally managed
Castello Carlo V,Castello Carlo V di Lecce,Cultural Institution,Lecce,cs-ba.castellocarlov@cultura.gov.it,https://museipuglia.cultura.gov.it/musei/castello-carlo-v-di-lecce/,Not Contacted,State-managed historic castle and cultural venue in central Lecce
Hotel Palazzo Papaleo,Hotel Palazzo Papaleo,Luxury Hospitality,Otranto,info@hotelpalazzopapaleo.com,https://www.hotelpalazzopapaleo.com/,Not Contacted,5-star hotel in Otranto historic center
Relais Valle dell'Idro,Relais Valle dell'Idro,Luxury Hospitality,Otranto,info@valledellidro.com,https://www.valledellidro.com/en,Not Contacted,4-star boutique hotel in Otranto
Biancodonda,Biancodonda Greenblu Hotel & Spa,Luxury Hospitality,Gallipoli,booking@greenblu.it,https://biancodonda.com/en/contacts-hotel-gallipoli/,Not Contacted,5-star lifestyle hotel and spa near Gallipoli old town
Hotel Palazzo del Corso,Palazzo del Corso,Luxury Hospitality,Gallipoli,info@hotelpalazzodelcorso.it,https://www.hotelpalazzodelcorso.it/,Not Contacted,5-star boutique hotel on Gallipoli's main street
Augustus Resort,Augustus Resort,Luxury Hospitality,Santa Cesarea Terme,info@augustusresort.it,https://augustusresort.com/contatti/,Not Contacted,Resort at Porto Miggiano
Masseria Torre Maizza,Masseria Torre Maizza (Rocco Forte Hotels),Luxury Hospitality,Savelletri di Fasano (Brindisi - Ostuni area),reservations.torremaizza@roccofortehotels.com,https://www.roccofortehotels.com/hotels-and-resorts/masseria-torre-maizza/,Not Contacted,Well-known luxury masseria-hotel near Ostuni; technically Brindisi province not Lecce but explicitly Ostuni-adjacent
Masseria Montelauro,Masseria Montelauro,Masseria,Otranto,info@masseriamontelauro.it,https://masseriamontelauro.it/en/,Not Contacted,Historic converted masseria hotel near Otranto
Le Pajare,Hotel Masseria Le Pajare,Masseria,Presicce (LE),info@lepajare.com,https://www.lepajare.com/,Not Contacted,Converted masseria and agritourism property; email from search snippet not independently re-fetched
