Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Tommaso Dragotto,Fondazione Tommaso Dragotto,Patron,Palermo,info@fondazionetommasodragotto.org,,Not Contacted,Entrepreneur and philanthropist
Antonio Presti,Fondazione Fiumara d'Arte,Patron,Sicily,antoniopresti@fondazionefiumaradarte.org,,Not Contacted,Art and territorial regeneration
Josè Rallo,Donnafugata,Patron,Sicily,info@donnafugata.it,,Not Contacted,Sustainability
Planeta Family,Planeta,Patron,Sicily,info@planeta.it,,Not Contacted,Wine and regeneration
Fondazione Sicilia,Fondazione Sicilia,Strategic Partner,Palermo,info@fondazionesicilia.it,,Not Contacted,Regional foundation
Roy Paci,Roy Paci,Patron,Sicily,info@roypaci.it,,Not Contacted,Musician
Mario Biondi,Mario Biondi,Patron,Sicily,info@mariobiondiofficial.it,,Not Contacted,Musician
Confindustria Sicilia,Confindustria Sicilia,Corporate Patron,Palermo,info@confindustriasicilia.it,https://www.confindustriasicilia.it/contatti/,Not Contacted,Regional Sicilian industry confederation; email verified on official site
Confindustria Palermo,Sicindustria (Confindustria Palermo territorial association),Corporate Patron,Palermo,info@sicindustria.eu,PEC: sicindustria@pec.sicindustria.eu,Not Contacted,Operates locally as Sicindustria; email and PEC verified on official site
Irritec,Irritec,Corporate Patron,Rocca di Caprileone (Messina),media@irritec.com,https://irritec.it/contatti/,Not Contacted,Irrigation technology manufacturer; only press-office email published no general info@ found
Mangiatorella,Mangiatorella,Corporate Patron,Saponara (Messina),,https://www.mangiatorella.it/contatti/,Not Contacted,Mineral water producer; no verified general-purpose email found on official site contact form only
Ergon S.p.A.,Ergon S.p.A.,Corporate Patron,Ragusa,info@ergonspa.it,https://ergonspa.com/contatti/,Not Contacted,Despar/Interspar/Eurospar retail group with photovoltaic investments; email cross-verified across independent sources moderate confidence
RAP Palermo,RAP Palermo,Corporate Patron,Palermo,info@rapspa.it,PEC: rap.spa@cert.comune.palermo.it,Not Contacted,Municipal waste management utility; verified on official transparency portal
AMAP Palermo,AMAP Palermo,Corporate Patron,Palermo,info@amapspa.it,PEC: amapspa@legalmail.it,Not Contacted,Municipal water utility for Palermo ATO; verified on official site
